subject_name,chapter_name,quiz_title,question_text,option1,option2,option3,option4,correct_option_index
Computer Science,Introduction to Programming,Python Basics,Which sorting algorithm has the best average-case complexity?,Bubble sort,Insertion sort,Merge sort,Selection sort,3
Computer Science,Introduction to Programming,Python Basics,"In Python, which of these data types is immutable?",List,Dictionary,Set,Tuple,4
Literature,Introduction to Poetry,Understanding Sonnets,Who wrote Hamlet?,Geoffrey Chaucer,William Shakespeare,Christopher Marlowe,John Milton,2
Literature,Introduction to Poetry,Understanding Sonnets,A sonnet typically has how many lines?,10,12,14,16,3
Literature,Introduction to Poetry,Understanding Sonnets,'1984' explores themes primarily related to:,Romantic love,Dystopian control,Adventure,Fantasy,2
Mathematics,Algebra Basics,Solving Linear Equations,The area of a circle with radius r is:,πr²,2πr,πd,½πr²,1
Mathematics,Algebra Basics,Solving Linear Equations,What is the integral of 1/x?,ln|x| + C,x²/2 + C,e^x + C,1/(x²) + C,1
Mathematics,Algebra Basics,Solving Linear Equations,Solve for x: x² - 4 = 0.,x=4,x=-4,x=±2,x=0,3
Physics,Classical Mechanics,Newton's Laws,Absolute zero is approximately:,-273°C,0°C,100°C,-100°C,1
Physics,Classical Mechanics,Newton's Laws,What phenomenon describes bending of waves around obstacles?,Reflection,Refraction,Diffraction,Interference,3
Physics,Classical Mechanics,Newton's Laws,Kinetic energy depends on:,Mass only,Velocity only,Mass and velocity,Height,3
Chemistry,Introduction to Chemistry,Atomic Structure Basics,pH below 7 indicates:,Neutral,Acidic,Basic,Salty,2
Chemistry,Introduction to Chemistry,Atomic Structure Basics,What bond involves sharing electron pairs?,Ionic,Covalent,Metallic,Hydrogen,2
Chemistry,Introduction to Chemistry,Atomic Structure Basics,What is Avogadro's number?,6.02x10²³,3.00x10⁸,1.60x10⁻¹⁹,9.81 m/s²,1
Biology,Cell Biology,The Cell Membrane,DNA replication occurs in which phase?,G1,S,G2,Mitosis,2
Biology,Cell Biology,The Cell Membrane,A group of ecosystems forms a:,Population,Community,Biome,Species,3
Biology,Cell Biology,The Cell Membrane,The powerhouse of the cell is:,Nucleus,Mitochondria,Ribosome,Golgi apparatus,2
History,Ancient Civilizations,Mesopotamia,Which treaty ended WWI?,Treaty of Versailles,Treaty of Paris,Treaty of Rome,Treaty of Tordesillas,1
History,Ancient Civilizations,Mesopotamia,Feudalism was characterized by:,Industrial production,Military alliances,Land exchanged for service,Democracy,3
History,Ancient Civilizations,Mesopotamia,Who built the pyramids?,Romans,Mesopotamians,Egyptians,Greeks,3
Geography,Physical Geography,Landforms,What line divides the Earth into Northern and Southern Hemispheres?,Prime Meridian,Equator,Tropic of Cancer,Tropic of Capricorn,2
Geography,Physical Geography,Landforms,A delta typically forms at:,Mountain peaks,River mouths,Desert edges,Ocean trenches,2
Geography,Physical Geography,Landforms,Which is the largest continent by area?,Africa,Asia,Europe,Antarctica,2
Computer Science,Introduction to Programming,Python Basics,Which data structure uses FIFO principle?,Stack,Queue,Tree,Graph,2
Computer Science,Introduction to Programming,Python Basics,Binary search requires what condition on data?,Random,Sorted,Reverse ordered,All positive numbers,2
Computer Science,Introduction to Programming,Python Basics,What does HTML stand for?,HyperText Markup Language,High Transfer Machine Language,HyperText Main Language,High Technology Markup Language,1
Literature,Introduction to Poetry,Understanding Sonnets,A haiku traditionally has how many syllables?,12,15,17,20,3
Literature,Introduction to Poetry,Understanding Sonnets,What literary device is prominently used in 'Animal Farm'?,Irony,Allegory,Metaphor,Simile,2
Literature,Introduction to Poetry,Understanding Sonnets,Who wrote 'Romeo and Juliet'?,William Shakespeare,John Milton,Charles Dickens,Jane Austen,1
